"","id","text"
"18270_0.txt",1,"I really liked this film for what it is. I also think that it is undoubtedly the most eye-opening film I ever saw in terms of the reality of the daily life of some people. Violet grew up in this house full of prostitutes, without a childhood, never knowing how to behave as a child. She grew up knowing how to behave in order to promote business in their 'house'. The deflowering ritual that Violet had to undergo would have scared me senseless, and it is pitifully sad to think that she looked forward to it, only because then the other women in the house would really take her seriously. The fact of the matter is, this is a true story and people should watch it, even if only to realise how grateful we should be for not living in times like that, for growing up in times where we are actually given a choice."
"42745_0.txt",2,"Myself and my partner decided to give this movie a try we went by the trailer. I wish that we had spent our time doing something more constructive.. Party at my house for a 24 hour paint watching marathon. Getting back on track.. Velvet luv. oh boy. I think I have seen better acting at a school play. 2nd grade I should say.. ""you make me hot baby"" When we started seeing the scenes with velvet in them my thoughts were you gotta be kidding me, is this a low grade horror movie or some cheesy porn flick. we decided to follow through with the movie to see what exactly happens, unfortunately the plot was too obvious and we ended up guessing what was going to happen. Some reason I felt psychic, now if only I could have predicted the lottery numbers then I would have been set, unfortunately this movie is too predictable. If your thinking of watching this, I would seriously think twice, due to the poor acting, little tips though... when you place a false hand made of silicon or rubber.. make sure that you don't shine a light onto that prop, and for the woman in stockings when you act dead, try not to clasp your hand around the other actors hand and most important of all... ( Don't Blink ) I am not going to spoil it for you guys as thats the type of person I am, so if your going to watch it.. good luck, oh by the way.. This movie should actually carry a government health warning! ( This film can cause serious manic depression for the hour and half of your life )"
"2719_0.txt",3,"OK i read this book and was curious to see the movie to see what they would.<br /><br />I had seen many Russian series before this and was generally unimpressed as i think they spent all the money on the cars and not anything else.<br /><br />Furthermore Goblin and a few other reviewers and critics i read were generally so so on it.<br /><br />So i was incredibly surprised to find how well they pulled this off. Its not an issue of ""accuracy"" (even though an acquaintances mother who is a teacher of literature in Russia and read this 20 times cover to cover was very satisfied) it is an issue of originality. The black and white to color switches, the acting, the actors, the music i found it really well done as well it should be since it is so well loved in Russia.<br /><br />Really they put in the effort and i was generally pleased with the result. Again not due to ""accuracy"" or inaccuracy, as that is impossible to do with certain films but with the originality and what i thought was quality film making.<br /><br />Btw, when Kot Begemot turned into the guy who plays Stira in ShtrafBat, my jaw dropped seeing as that was the person with the ""cat eyes"" who i pictured when i read Master and Bulgakov described him.<br /><br />10 stars is an understatement."
"20406_0.txt",4,"Back in the 1970s, some young directors really believed it was possible to make movies for television, rather than ""TV movies"" (one-episode 90 minute TV shows or the longer, even less cinematic soap opera 'miniseries'). The best known of these efforts was Spielberg's ""Duel,"" but there were good films appearing now and again all the way up 'till about 1983, which saw the ""Day After"" phenomenon, following which Republicans put such pressure on TV producers, they never attempted anything risky on broadcast TV again.<br /><br />This movie may very well be Peter Hyam's best. It certainly boasts the best later performance by Richard Boone as a washed-out detective and a knock-down performance by Michael Dunne as his side-kick. The camera-work, the pacing, the dialog, are all low-key, but need to be - this is an homage to the noir films of the forties, not a ""Chinatown"" attempt to resurrect them. Consequently there's a great deal of gentle humor here, but it never gets campy, and doesn't get in the way of a tight little mystery that is doomed to end badly for everyone - the detectives succeed in the end only because they live to be able to tell the tale (and are smart enough to know not to waste their breath telling it). There's a general feeling of 'life happens"" pervading the film - as was also the case for the noir films toward the end of that genre as it faded after WWII. Despite the low-key approach, the film is highly memorable for its atmosphere and characterizations. I haven't seen it for years and I still think of seeing it with pleasure. Probably a lost film (although I suppose you can find anything on the internet), this could be well worth the research to rediscover."
"39721_0.txt",5,"As Keystone comedies go, this is a pretty dark and depressing little piece of work. There's an amusing moment or two along the way, thanks largely to Roscoe Arbuckle's physical dexterity, but the story is more harrowing than funny, with an ending that's like something out of Kafka. And if you know the details of Arbuckle's tragic life and career the distressing impact of FATTY JOINS THE FORCE is only compounded.<br /><br />The story gets under way in a park. Fatty and his wife encounter cop Edgar Kennedy, who apparently tosses off a sassy remark (about Roscoe's girth?) en route to a flirtation with a nursemaid. While the cop and the maid are chatting, the nurse's charge, a little girl, wanders off and then falls into the lake. Fatty comes to the rescue and saves the little girl, who turns out to be the Police Commissioner's daughter. Fatty the hero is 'rewarded' with a position on the police force, but quickly gets into trouble. He falls afoul of a group of teenage boys who easily get the better of him. By the end, due to a misunderstanding, the one-time hero is mistaken for a dangerous ""wild man,"" and winds up in jail himself, disgraced and sobbing with frustration while his wife flirts with the Police Commissioner.<br /><br />How funny does that sound? . . . Not so funny, right? And when you consider that Arbuckle himself plummeted from a position of wealth and celebrity to genuine and lasting disgrace, due, according to the most credible research, to a tragic misunderstanding, the weepy close-up of Roscoe in his jail cell that concludes this film is even more disturbing than it might otherwise be. History buffs will be reminded of the infamous composite photo that ran in the Hearst papers at the height of the Arbuckle scandal in 1921, showing a grim-faced Roscoe supposedly behind bars in San Francisco, facing rape and manslaughter charges. (The charges were real, all right, but the photo was faked.) Even taken on its own terms, FATTY JOINS THE FORCE is short on laughs. Roscoe executes a couple of funny falls, and reacts strenuously to a pie in the face, but otherwise this movie is about as comical as Hitchcock's THE WRONG MAN."
"41136_0.txt",6,"Ever since I was 12, I fell in love with SpongeBob, and could imitate his voice very well and liked the show for years. But now it has changed significantly in the middle of 4th and 5th season and has gotten worse. SpongeBob has changed in a bad way, and also the humor has changed. What's with SpongeBob's new smile? It freaks me out, his original smile was just fine. The plots of the newest episodes seem pointless; SpongeBob and other characters seem to becoming more stupid. The studio has got to get their heads together and redeem the show or it will lose its high ratings and come to an end. However, I will still like SpongeBob in the early years."
"49474_0.txt",7,"I was actually looking forward to seeing this movie because I have a step father who I often feud with. So naturally I was hopping this would cheer me up and get me to laugh. But boy did this movie depress me and boy did it make me angry.<br /><br />First let me go over what I did like about this film before I trash it. It had what could have been a really good and funny plot. Our lead character discovers that the evil gym teacher that tormented him in middle school is now going to marry his mother. Basically think of that teacher from high school or middle school who hated your guts. You didn't do anything he/she just hated you and made it clear. Now imagine if that teacher going to be your new stepfather/stepmother. What do you do? This sounded hysterical and in the films defenses there were a few funny moments. Sadly however those funny moments were all given away in the trailer. This would be the first problem I had with this film. All the parts that come to mind as being the highlights were already spoiled and what's left is okay but not great.<br /><br />However let's talk about the story a little more. As I said before our star use to be stuck with an evil gym teacher who was out to make his life a living hell. Now he's all grown up and has used his experiences with ""Mr. Woodcock"" to write a self help book. This book becomes a best seller and he now teaches people how to let go of there past. Things are going well until his past come back to hunt him! Now that also could of bin funny. Watching a mans message of letting go of the past get challenge by the bad things that happen to him long ago. Sadly it does not play out well and I will explain later.<br /><br />This Woodcock fellow dose not seem to regret any of the mean things he has done to him. In fact he's very mean to everyone and everything. They made him such a jerk to the point you can't bring your self to like his character. The mom on the other hand seem really nice but one cant help but wonder what is she thinking, is she that desperate? The guy makes very rude and mean spirited comments to her son, even going far to make sex comments about his mother. He treats the people in the town like dirt and everything that comes out of his moth is negativity and insults. Some time his abuse gets physical.<br /><br />So I was starting to think the story was about an evil step father who the son had to save his mother from marrying. After all for some reason he and us the viewer can only see what a bad guy Woodcock really is. But no. By the end of the movie the son must learn to Respect Woodcock and his very abusive ways. So according to the movie women are better off pretending there abusive spouse is a good guy in spite of the fact he treats the world like dirt. For all women can't be happy unless they have a man, even if he is a creep. What kind of message is that to send out! Okay, dose our hero at least manage to persevere his message he has become popular selling? No, by the end he turns back on all of that and decided to take after his mom. Give into stock home syndrome and convinces himself that Woodcock is a good guy. So he finds himself apologizing to an unapologetic abusive jerk. He even declares that all the abuses was good for him. What kind of message are they trying to send out? Well did Woodcock learn any lessons, become sorry for his actions and show off that there is a nice guy in there some ware? As I already said no. They make it very clear he is not sorry for any the things he dose. In the movies Meet the Parents and Meet the Fockers, our lead faced a similar problem with his father in law to be. However that worked out on screen much better. Why? Because by the end the Character who was being a jerk learned his lesson and realizes he was in the wrong. Something that never happens here. The best we get is when Woodcock said ""I'm ""Basically"" sorry"" to the mom but after the entire movie one cant help but feel more mad then amused.<br /><br />To make things a little worse thing are never resolved. Like there a little romance going on between our star and a girl he knew from his old school but it never went any ware. In fact in one moment our ""hero"" cames off as a bit of jerk to because it seems he did not care much for her at all. So now our lead character not that likable earthier. Then when it gets to the end the movie feels as if it just stops. No laterally, it feels like it stop in mid-moment and then the credits start. Leaving the movie feeling unfinished and made to quickly.<br /><br />Over all what could of bin a good movie falls apart because things are never resolved, characters are unlikable, and sends out the message that abuse; verbal or physical is cool as long as your mom love him.<br /><br />That Why Mr. Woodcock gets a 3 out of 10."
"36746_0.txt",8,"Mel Gibson plays a military test pilot who agrees to become the subject of a cryogenic experiment after the love of his life ends up in an 'irreversable' coma in 1939. Well, the experiment is completely forgotten about and he remains in the deep freeze until he is set free by some kids trespassing in an army warehouse. Mel awakens to find a different world, and, needless to say, love. What do you get when you mix a big star like Gibson with a sappy script and a mediocre director like Steve Minor: A sappy and contrived film. Boy, is it sappy. Boy, is it contrived. This is practically a convention of unwarranted coincidences, unresolved situations and unanswered implications. The film stirs to life on occasion, but it never manages to amount to much."
"12622_0.txt",9,"In this one, Matt Helm's antagonist is Count Contini, a gold smuggler, played by Nigel Green. He is aided by his gang of thugs and two female sidekicks, Linka (Elke Sommer) and Gwen Ya-Rang (Nancy Kwan). As might be expected, both try to seduce Matt, offering fake carrots. Interestingly for a Matt Helm movie, however, Linka is a rare woman in Matt's orbit who is the recipient, rather than initiator, of the first display of interest. Earlier, there is a nice scene in which Lola Medini (Tina Louise), a former associate of Contina, seduces Matt in connection with the intrigue.<br /><br />Ultimately, it is Freya Carlson (Sharon Tate) who gets her man. She is a Danish tourist agent who leads Matt around in fulfilling his duties. Like Stella Stevens in ""The Silencers,"" she is initially quite clumsy, and is involved in a nice wetlook scene (actually, so is Linka). Freya helps Matt foil the villains.<br /><br />I'm focusing mostly on the women here, but hey, you can hardly beat this bunch in this male fantasy series. The only Bond movie that can rival this group is ""Thunderball.""<br /><br />"
"13896_0.txt",10,"This was one of my first ""Disney Midquel"" experiences, the very first being the Fox and the Hound 2. I haven't a clue why Disney has taken up this hideous trend. Their midquels spoil practically everything about their original counterparts.<br /><br />I was (and I'm sure that others were too) hoping for a story about Bambi's twin fawns Geno and Gurri from the novel Bambi's Children. Instead I received this nightmare. I'll not spoil the story for those interested in this garbage, but I will say that every classic character was ruined by a chatty, modern attitude. The character that bothered me most was the redone Faline. She was not at all her adorable old self, but quiet, reserved, and having a slightly darker, more dullish-brown coat, thus erasing all of her original appeal. <br /><br />Despite the lovely animation, I could not enjoy how Disney made such a lackluster and unoriginal followup to one of their most successful films of all time."
